ID #,Date -Sampled-,NtoS -code-,Sample Site,Species -code-,Percent Composition,Density -code-,RA_Rank,RA Index,Latitude,Longitude
UA-6672-01,7/1/2018,2,Trinidad Pier,No tox sp,0,X,0,0,41.06,-124.15
UA-6673-01,7/2/2018,18,"La Jolla, Scripps Pier",No tox sp,0,X,0,0,32.87,-117.26
UA-6674-01,7/5/2018,4,Goat Rock,No tox sp,0,X,0,0,38.44,-123.13
UA-6679-01,7/5/2018,14,Goleta Pier,No tox sp,0,X,0,0,34.41,-119.83
UA-6682-01,7/2/2018,10,Pacifica Pier,No tox sp,0,X,0,0,37.63,-122.5
UA-6683-01,7/2/2018,4,"Russian River, Jenner",No tox sp,0,X,0,0,38.45,-123.12
UA-6684-01,7/1/2018,5,"Tomales Bay, Lease #M430-15",No tox sp,0,X,0,0,38.22,-122.94
UA-6685-01,7/2/2018,13,"Morro Bay, Boat Launch",No tox sp,0,X,0,0,35.36,-120.85
UA-6686-01,7/2/2018,10,Pillar Point Harbor,No tox sp,0,X,0,0,37.5,-122.49
UA-6686-02,7/2/2018,10,Bean Hollow State Beach,No tox sp,0,X,0,0,37.22,-122.41
UA-6688-01,7/2/2018,2,"Humboldt Bay, Indian Is. Ch.",No tox sp,0,X,0,0,40.81,-124.16
UA-6689-01,7/5/2018,5,"Drakes Bay, Chimney Rock LBS",No tox sp,0,X,0,0,37.99,-122.97
UA-6690-01,7/2/2018,4,"Bodega Harbor, USCG Dock",No tox sp,0,X,0,0,38.31,-123.05
UA-6692-01,7/3/2018,13,San Simeon Pier,No tox sp,0,X,0,0,35.64,-121.19
UA-6708-01,7/3/2018,3,Point Arena Pier,No tox sp,0,X,0,0,38.91,-123.71
UA-6714-01,7/6/2018,5,"GFNMS, Marin Line 4E",No tox sp,0,X,0,0,37.89,-123.09
UA-6732-01,7/3/2018,11,"Santa Cruz, Seacliff Pier",No tox sp,0,X,0,0,36.97,-121.91
UA-6737-01,7/3/2018,13,"Port San Luis, Diablo Cove",No tox sp,0,X,0,0,35.14,-120.82
UA-6743-01,7/7/2018,5,"GFNMS, Marin Line 2E",No tox sp,0,X,0,0,38.06,-122.99
UA-6744-01,7/6/2018,5,"GFNMS, Marin Line N4-WN",No tox sp,0,X,0,0,37.9,-122.87
UA-6745-01,7/4/2018,10,"GFNMS, San Mateo Line 10W",No tox sp,0,X,0,0,37.35,-122.94
UA-6746-01,7/5/2018,8,"GFNMS, San Francisco Line 6W",No tox sp,0,X,0,0,37.69,-123.18
UA-6747-01,7/6/2018,5,"GFNMS, Marin Line 4W",No tox sp,0,X,0,0,37.88,-123.47
UA-6748-01,7/7/2018,5,"GFNMS, Marin Line N2WN",No tox sp,0,X,0,0,38.06,-123.13
UA-6749-01,7/4/2018,10,"GFNMS, San Mateo Line 10E",No tox sp,0,X,0,0,37.36,-122.46
UA-6750-01,7/5/2018,8,"GFNMS, San Francisco Line 6E",No tox sp,0,X,0,0,37.69,-122.51
