ID #,Date -Sampled-,NtoS -code-,Sample Site,Species -code-,Percent Composition,Density -code-,RA_Rank,RA Index,Latitude,Longitude
UA-6800-01,8/5/2018,5,"Tomales Bay, Lease #M430-15",B-Pseu_Sum,0.2,R,1,0.01,38.22,-122.94
UA-6801-01,8/5/2018,5,"Tomales Bay, HIOC Cove",B-Pseu_Sum,0.2,R,1,0.01,38.16,-122.9
UA-6802-01,8/5/2018,5,"Tomales Bay, Lease #M430-12",No tox sp,0,X,0,0.00,38.13,-122.87
UA-6803-01,8/6/2018,2,"Humboldt Bay, Indian Is. Ch.",B-Pseu_Sum,10,C,3,0.14,40.81,-124.16
UA-6804-01,8/6/2018,13,"Morro Bay, Boat Launch",B-Pseu_Sum,0.5,R,1,0.01,35.36,-120.85
UA-6805-01,8/6/2018,4,"Bodega Harbor, USCG Dock",B-Pseu_Sum,0.2,R,1,0.00,38.31,-123.05
UA-6806-01,8/1/2018,5,"Drakes Bay, Chimney Rock LBS",No tox sp,0,X,0,0.00,37.99,-122.97
UA-6832-01,8/5/2018,13,Cayucos Pier,B-Pseu_Sum,1,P,2,0.01,35.45,-120.91
UA-6833-01,8/1/2018,15,"Ventura, Anacapa Is., East",B-Pseu_Sum,0.5,R,1,0.00,34.02,-119.36
UA-6834-01,8/1/2018,12,"Monterey, Granite Canyon",No tox sp,0,X,0,0.00,36.47,-121.93
UA-6835-01,8/1/2018,10,Bean Hollow State Beach,No tox sp,0,X,0,0.00,37.22,-122.41
UA-6835-02,8/1/2018,10,Pillar Point Harbor,No tox sp,0,X,0,0.00,37.5,-122.49
UA-6836-01,8/1/2018,8,"San Francisco, Pier 15",No tox sp,0,X,0,0.00,37.8,-122.4
UA-6837-01,8/2/2018,18,Imperial Beach Pier,B-Pseu_Sum,5,P,2,0.00,32.58,-117.14
UA-6838-01,8/2/2018,15,Ventura Pier,No tox sp,0,X,0,0.00,34.27,-119.29
UA-6839-01,8/1/2018,14,Goleta Pier,B-Pseu_Sum,2,P,2,0.00,34.41,-119.83
UA-6840-01,8/6/2018,5,Bolinas Lagoon,B-Pseu_Sum,0.5,R,1,0.01,37.91,-122.68
UA-6841-01,8/5/2018,10,Pacifica Pier,B-Pseu_Sum,15.5,C,3,0.05,37.63,-122.5
UA-6842-01,8/7/2018,13,Pismo Pier,No tox sp,0,X,0,0.00,35.14,-120.65
UA-6843-01,8/6/2018,18,"La Jolla, Scripps Pier",B-Pseu_Sum,0.5,R,1,0.00,32.87,-117.26
UA-6844-01,8/7/2018,16,"Santa Monica Bay, 3901",No tox sp,0,X,0,0.00,34.03,-118.72
UA-6846-01,8/7/2018,2,"Humboldt Bay, WQ #21",No tox sp,0,X,0,0.00,40.85,-124.14
UA-6847-01,8/7/2018,18,Agua Hedionda Lagoon,No tox sp,0,X,0,0.00,33.14,-117.34
UA-6848-01,8/7/2018,13,San Simeon Pier,B-Pseu_Sum,1,P,2,0.01,35.64,-121.19
UA-6849-01,8/5/2018,11,"Santa Cruz, Capitola Pier",No tox sp,0,X,0,0.00,36.97,-121.95
UA-6851-01,8/1/2018,11,Santa Cruz Pier,No tox sp,0,X,0,0.00,36.96,-122.02
UA-6852-01,8/2/2018,17,"Newport Bay, Back Bay",No tox sp,0,X,0,0.00,33.62,-117.89
UA-6853-01,8/1/2018,16,"Palos Verdes, OFFSHORE",B-Pseu_Sum,0.5,R,1,0.00,33.72,-118.35
UA-6854-01,8/3/2018,17,Bolsa Chica,No tox sp,0,X,0,0.00,33.68,-118.03
