ID #,Date -Sampled-,NtoS -code-,Sample Site,Species -code-,Percent Composition,Density -code-,RA_Rank,RA Index,Latitude,Longitude
UA-6571-01,6/10/2018,5,"Tomales Bay, WQ Station #12",No tox sp,0,X,0,0,38.16,-122.9
UA-6577-01,6/13/2018,11,Santa Cruz Pier,B-Pseu_Sum,0.5,R,1,0,36.96,-122.02
UA-6578-01,6/13/2018,14,Goleta Pier,No tox sp,0,X,0,0,34.41,-119.83
UA-6579-01,6/10/2018,8,"San Francisco, Presidio Pier",B-Pseu_Sum,0.5,R,1,0,37.81,-122.47
UA-6580-01,6/10/2018,10,Pacifica Pier,B-Pseu_Sum,0.5,R,1,0.01,37.63,-122.5
UA-6582-01,6/12/2018,15,Ventura Pier,B-Pseu_Sum,0.5,R,1,0,34.27,-119.29
UA-6583-01,6/12/2018,13,Pismo Pier,B-Pseu_Sum,7,P,2,0.21,35.14,-120.65
UA-6584-01,6/11/2018,17,San Clemente Pier,B-Pseu_Sum,0.5,R,1,0.01,33.42,-117.62
UA-6589-01,6/12/2018,18,"San Diego Bay, U.S. Navy Pier",B-Pseu_Sum,0.5,R,1,0,32.7,-117.24
UA-6590-01,6/12/2018,18,Agua Hedionda Lagoon,No tox sp,0,X,0,0,33.14,-117.34
UA-6591-01,6/10/2018,5,"Tomales Bay, Lease #M430-12",B-Pseu_Sum,0.2,R,1,0.01,38.13,-122.87
UA-6592-01,6/10/2018,5,"Tomales Bay, Lease #M430-15",No tox sp,0,X,0,0,38.22,-122.94
UA-6593-01,6/11/2018,13,"Morro Bay, Boat Launch",B-Pseu_Sum,0.5,R,1,0.01,35.36,-120.85
UA-6594-01,6/13/2018,6,"Point Richmond, Ferry Point",B-Pseu_Sum,4,P,2,0.03,37.91,-122.39
UA-6595-01,6/8/2018,13,San Simeon Pier,B-Pseu_Sum,1,P,2,0.03,35.64,-121.19
UA-6596-01,6/11/2018,2,"Humboldt Bay, Indian Is. Ch.",B-Pseu_Sum,0.2,R,1,0.09,40.81,-124.16
UA-6597-01,6/13/2018,12,"Monterey, Stillwater Cove",No tox sp,0,X,0,0,36.57,-121.94
UA-6598-01,6/14/2018,11,"Santa Cruz, Capitola Pier",B-Pseu_Sum,0.5,R,1,0.01,36.97,-121.95
UA-6600-01,6/14/2018,13,"Morro Bay, North T-Pier",B-Pseu_Sum,8,P,2,0.03,35.37,-120.86
UA-6603-01,6/13/2018,8,"San Francisco, Pier 15",B-Pseu_Sum,0.2,R,1,0,37.8,-122.4
UA-6604-01,6/11/2018,5,Bolinas Lagoon,B-Pseu_Sum,0.5,R,1,0,37.91,-122.68
