ID #,Date -Sampled-,NtoS -code-,Sample Site,Species -code-,Percent Composition,Density -code-,RA_Rank,RA Index,Latitude,Longitude
UA-6800-01,8/5/2018,5,"Tomales Bay, Lease #M430-15",D-Alex_Sum,0.1,R,1,0.01,38.22,-122.94
UA-6801-01,8/5/2018,5,"Tomales Bay, HIOC Cove",No tox sp,0,X,0,0.00,38.16,-122.9
UA-6803-01,8/6/2018,2,"Humboldt Bay, Indian Is. Ch.",No tox sp,0,X,0,0.00,40.81,-124.16
UA-6804-01,8/6/2018,13,"Morro Bay, Boat Launch",D-Alex_Sum,0.5,R,1,0.01,35.36,-120.85
UA-6805-01,8/6/2018,4,"Bodega Harbor, USCG Dock",No tox sp,0,X,0,0.00,38.31,-123.05
UA-6832-01,8/5/2018,13,Cayucos Pier,No tox sp,0,X,0,0.00,35.45,-120.91
UA-6833-01,8/1/2018,15,"Ventura, Anacapa Is., East",No tox sp,0,X,0,0.00,34.02,-119.36
UA-6837-01,8/2/2018,18,Imperial Beach Pier,No tox sp,0,X,0,0.00,32.58,-117.14
UA-6839-01,8/1/2018,14,Goleta Pier,No tox sp,0,X,0,0.00,34.41,-119.83
UA-6840-01,8/6/2018,5,Bolinas Lagoon,D-Alex_Sum,0.5,R,1,0.01,37.91,-122.68
UA-6841-01,8/5/2018,10,Pacifica Pier,D-Alex_Sum,1,P,2,0.00,37.63,-122.5
UA-6842-01,8/7/2018,13,Pismo Pier,D-Alex_Sum,0.5,R,1,0.02,35.14,-120.65
UA-6843-01,8/6/2018,18,"La Jolla, Scripps Pier",No tox sp,0,X,0,0.00,32.87,-117.26
UA-6848-01,8/7/2018,13,San Simeon Pier,No tox sp,0,X,0,0.00,35.64,-121.19
UA-6849-01,8/5/2018,11,"Santa Cruz, Capitola Pier",D-Alex_Sum,3,P,2,0.01,36.97,-121.95
UA-6850-01,8/3/2018,16,"Palos Verdes, OFFSHORE",No tox sp,0,X,0,0.00,33.72,-118.35
